2021-06-18 09:44:03,891 Kiwoom initializing...
2021-06-18 09:44:49,119 Kiwoom log in success
2021-06-18 09:44:49,120 Account information
2021-06-18 09:44:49,629 Deposit information (Futures)
2021-06-18 09:44:49,675 Portfolio information (Futures) (No item found)
2021-06-18 09:56:08,676 [93mALGORITHM STARTED [97m
2021-06-18 09:56:29,153 Diff5: -0.04, DiffDifff5[-1]:0.03, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.005
2021-06-18 09:56:30,950 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: -0.005
2021-06-18 09:56:30,950 Diff5: -0.04, DiffDifff5[-1]:0.03, Diff10[-1]:-0.04, DiffDiff10[-1]: -0.005
2021-06-18 09:56:33,648 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:33,649 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:33,715 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:33,716 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:33,755 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:33,756 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:33,764 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:33,764 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:33,767 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:33,768 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:33,796 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:33,799 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:34,150 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:34,150 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:36,041 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:36,041 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:36,341 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.0
2021-06-18 09:56:36,342 Diff5: -0.03, DiffDifff5[-1]:0.04, Diff10[-1]:-0.035, DiffDiff10[-1]: 0.0
2021-06-18 09:56:45,646 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
2021-06-18 09:56:45,656 Diff5: -0.02, DiffDifff5[-1]:0.05, Diff10[-1]:-0.03, DiffDiff10[-1]: 0.005
2021-06-18 09:56:46,445 Diff5: -0.07, DiffDifff5[-2]:-0.03, Diff10[-2]:-0.035, DiffDiff10[-2]: 0.005
