2021-06-28 09:35:42,513 Kiwoom initializing...
2021-06-28 09:36:31,831 Kiwoom log in success
2021-06-28 09:36:31,831 Account information
2021-06-28 09:36:32,344 Deposit information (Futures)
2021-06-28 09:36:32,374 Portfolio information (Futures)
2021-06-28 09:36:37,912 Stop Charting
2021-06-28 09:38:00,002 Send order (SELL) command committed successfully KOA_CREATE_FO_ORD
2021-06-28 09:38:00,050 Order execution(-¸Åµµ) F 202109(Á¢¼ö), order:1, executed_sum:0, open:1, price:0.0, number:9959, original:0
2021-06-28 09:38:00,053 Balance information
2021-06-28 09:38:00,055 Order execution(-¸Åµµ) F 202109(Ã¼°á), order:1, executed_sum:1, open:0, price:0.0, number:9959, original:0
2021-06-28 09:38:00,058 Balance information
2021-06-28 09:38:08,170 [93mALGORITHM STARTED [97m
2021-06-28 09:38:58,168 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:38:58,380 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:58,386 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:58,391 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:58,422 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:58,429 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:38:58,771 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:58,889 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:58,976 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,063 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,150 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,154 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,256 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,273 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.01
2021-06-28 09:38:59,335 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.01
2021-06-28 09:38:59,421 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,458 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,463 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,568 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,756 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,760 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:38:59,764 DiffDiff5[-5]:0.01, DiffDiff5[-4]:0.03, DiffDiff5[-3]:-0.04, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:00,374 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:00,574 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:02,464 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:02,669 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:02,755 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:07,751 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:07,756 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:07,856 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:07,860 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:08,054 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:09,050 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:10,560 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:16,661 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:20,459 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:20,463 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:20,467 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:20,471 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:20,476 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:20,480 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:20,662 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:23,263 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:23,357 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:23,361 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:23,365 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:23,658 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:24,662 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:26,165 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:0.0
2021-06-28 09:39:29,868 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:29,998 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:30,045 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:30,050 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:30,653 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:30,850 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:31,259 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.01
2021-06-28 09:39:32,468 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:32,613 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:32,630 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:32,639 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:32,644 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:32,681 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:33,464 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:33,468 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:33,652 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:34,071 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.03
2021-06-28 09:39:35,255 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:35,419 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
2021-06-28 09:39:35,431 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.03
2021-06-28 09:39:36,964 DiffDiff5[-5]:0.03, DiffDiff5[-4]:-0.04, DiffDiff5[-3]:0.0, DiffDiff5[-2]:0.0, DiffDiff5[-1]:-0.02
