2021-06-29 09:38:52,646 Kiwoom initializing...
2021-06-29 09:39:32,516 Kiwoom log in success
2021-06-29 09:39:32,517 Account information
2021-06-29 09:39:33,021 Deposit information (Futures)
2021-06-29 09:39:33,051 Portfolio information (Futures)
2021-06-29 09:44:02,767 Send order (BUY) command committed successfully KOA_CREATE_FO_ORD
2021-06-29 09:44:03,044 Order execution(+¸Å¼ö) F 202109(Á¢¼ö), order:1, executed_sum:0, open:1, price:0.0, number:11326, original:0
2021-06-29 09:44:03,046 Balance information
2021-06-29 09:44:03,242 Order execution(+¸Å¼ö) F 202109(Ã¼°á), order:1, executed_sum:1, open:0, price:0.0, number:11326, original:0
2021-06-29 09:44:03,245 Balance information
2021-06-29 09:44:08,327 [93mALGORITHM STARTED [97m
2021-06-29 09:44:37,451 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:38,250 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.04
2021-06-29 09:44:38,371 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:38,374 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:38,549 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:38,640 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:39,838 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:41,946 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:41,948 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:41,951 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:42,043 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.04
2021-06-29 09:44:42,045 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.04
2021-06-29 09:44:42,152 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:42,173 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:42,175 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:42,179 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:42,182 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:42,440 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:42,637 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:42,841 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:42,962 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:42,965 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:42,968 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:44,750 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.01
2021-06-29 09:44:45,842 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:47,242 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.01
2021-06-29 09:44:47,841 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.01
2021-06-29 09:44:48,644 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:49,637 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:49,639 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:49,854 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.03
2021-06-29 09:44:50,051 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.02
2021-06-29 09:44:52,154 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.01
2021-06-29 09:44:53,750 DiffDiff5[-5]:-0.03, DiffDiff5[-4]:0.06, DiffDiff5[-3]:0.07, DiffDiff5[-2]:-0.04, DiffDiff5[-1]:0.01
