Time,Price
20201228102400,50000
20201228102430,49950
20201228102500,49950
20201228102530,49950
20201228102600,49950
20201228102630,50000
20201228102700,49950
20201228102730,49950
20201228102800,49950
20201228102830,50000
20201228102900,49950
20201228102930,50000
20201228103000,49950
20201228103030,49900
20201228103100,49950
20201228103130,49950
20201228103200,49900
20201228103230,49900
20201228103300,49900
20201228103330,49900
20201228103400,49900
20201228103430,49950
20201228103500,49900
20201228103530,49950
20201228103600,49900
20201228103630,49950
20201228103700,49900
20201228103730,49950
20201228103800,50000
20201228103830,50000
20201228103900,49950
20201228103930,50000
20201228104000,49950
20201228104030,49950
20201228104100,49950
20201228104130,49950
20201228104200,49900
20201228104230,50000
20201228104300,50000
20201228104330,49900
20201228104400,49950
20201228104430,49950
20201228104500,49950
20201228104530,49950
20201228104600,49950
20201228104630,50000
20201228104700,49950
20201228104730,50000
20201228104800,50000
20201228104830,50000
20201228104900,49950
20201228104930,50000
20201228105000,49950
20201228105030,49950
20201228105100,49950
20201228105130,50000
20201228105200,50000
20201228105230,50100
20201228105300,50000
20201228105330,50100
20201228105400,50100
20201228105430,50200
20201228105500,50000
20201228105530,50100
20201228105600,50100
20201228105630,50000
20201228105700,50000
20201228105730,50000
20201228105800,50000
20201228105830,50000
20201228105900,50100
20201228105930,50000
20201228110000,50000
20201228110030,50100
20201228110100,50000
20201228110130,50000
20201228110200,50000
20201228110230,50100
20201228110300,50000
20201228110330,50000
20201228110400,50000
20201228110430,50000
20201228110500,50000
20201228110530,49950
20201228110600,49950
20201228110630,49950
20201228110700,50000
20201228110730,49950
20201228110800,49950
20201228110830,50000
20201228110900,50000
20201228110930,50000
20201228111000,49950
20201228111030,49950
20201228111100,50000
20201228111130,49950
20201228111200,49950
20201228111230,49950
20201228111400,50000
20201228111430,49950
20201228111500,50000
20201228111530,50000
20201228111600,50000
20201228111630,49950
20201228111700,49950
20201228111730,49950
20201228111800,49950
20201228111830,50000
20201228111900,49950
20201228111930,49950
20201228112000,49950
20201228112030,50000
20201228112100,50000
20201228112130,50000
20201228112200,49950
20201228112230,50000
20201228112300,50000
20201228112330,50000
20201228112400,49950
20201228112430,50000
20201228112500,49950
20201228112530,50000
20201228112600,50000
20201228112630,50100
20201228112700,50000
20201228112730,50100
20201228112800,50000
20201228112830,50100
20201228112900,50000
20201228112930,50100
20201228113000,49950
20201228113030,50100
20201228113100,50000
20201228113130,50100
20201228113200,50000
20201228113230,50100
20201228113300,50000
20201228113330,50000
20201228113400,50000
20201228113430,50100
20201228113500,50000
20201228113530,50100
20201228113600,50000
20201228113630,50100
20201228113700,50000
20201228113730,50100
20201228113800,49950
20201228113830,50000
20201228113900,49950
20201228113930,49950
20201228114000,50000
20201228114030,49950
20201228114100,49950
20201228114130,50000
20201228114200,49950
20201228114230,50000
20201228114300,49950
20201228114330,50000
20201228114400,49950
20201228114430,50000
20201228114500,50000
20201228114530,49950
20201228114600,49950
20201228114630,50000
20201228114700,50000
20201228114730,49950
20201228114800,49950
20201228114830,50000
20201228114900,50000
20201228114930,50100
20201228115000,50000
20201228115030,50000
20201228115100,50100
20201228115130,49950
20201228115200,50000
20201228115230,50000
20201228115300,50000
20201228115330,50100
20201228115400,50100
20201228115430,50000
20201228115500,50000
20201228115530,50100
20201228115600,50000
20201228115630,50100
20201228115700,50000
20201228115730,50100
20201228115800,50000
20201228115830,50100
20201228115900,50100
20201228115930,49950
20201228120000,49950
20201228120030,50000
20201228120100,49950
20201228120130,50100
20201228120200,50000
20201228120230,50100
20201228120300,50000
20201228120330,50100
20201228120400,50000
20201228120430,50000
20201228120500,50000
20201228120530,50100
20201228120600,50000
20201228120630,49950
20201228120700,50000
20201228120730,49900
20201228120800,49900
20201228120830,49950
20201228120900,49900
20201228120930,49950
20201228121000,49950
20201228121030,50000
20201228121100,49950
20201228121130,50000
20201228121200,49950
20201228121230,50000
20201228121300,50000
20201228121330,50000
20201228121400,50000
20201228121430,49950
20201228121500,49900
20201228121530,49900
20201228121600,49900
20201228121630,49800
20201228121700,49800
20201228121730,49850
20201228121800,49800
20201228121830,49800
20201228121900,49800
20201228121930,49850
20201228122000,49800
20201228122030,49850
20201228122100,49850
20201228122130,49800
20201228122200,49800
20201228122230,49850
20201228122300,49850
20201228122330,49950
20201228122400,49900
20201228122430,50100
20201228122500,50000
20201228122530,50100
